galaxy,filter,filename
#
ic5332,F770W,ic5332/ic5332_miri_lv3_f770w_i2d_align.fits
ic5332,F1000W,ic5332/ic5332_miri_lv3_f1000w_i2d_align.fits
ic5332,F1130W,ic5332/ic5332_miri_lv3_f1130w_i2d_align.fits
ic5332,F2100W,ic5332/ic5332_miri_lv3_f2100w_i2d_align.fits
#
ngc0628,F200W,ngc0628/ngc0628_nircam_lv3_f200w_i2d_align.fits
ngc0628,F300M,ngc0628/ngc0628_nircam_lv3_f300m_i2d_align.fits
ngc0628,F335M,ngc0628/ngc0628_nircam_lv3_f335m_i2d_align.fits
ngc0628,F360M,ngc0628/ngc0628_nircam_lv3_f360m_i2d_align.fits
ngc0628,F770W,ngc0628/ngc0628_miri_lv3_f770w_i2d_align.fits
ngc0628,F1000W,ngc0628/ngc0628_miri_lv3_f1000w_i2d_align.fits
ngc0628,F1130W,ngc0628/ngc0628_miri_lv3_f1130w_i2d_align.fits
ngc0628,F2100W,ngc0628/ngc0628_miri_lv3_f2100w_i2d_align.fits
#
ngc1087,F200W,ngc1087/ngc1087_nircam_lv3_f200w_i2d_align.fits
ngc1087,F300M,ngc1087/ngc1087_nircam_lv3_f300m_i2d_align.fits
ngc1087,F335M,ngc1087/ngc1087_nircam_lv3_f335m_i2d_align.fits
ngc1087,F360M,ngc1087/ngc1087_nircam_lv3_f360m_i2d_align.fits
ngc1087,F770W,ngc1087/ngc1087_miri_lv3_f770w_i2d_align.fits
ngc1087,F1000W,ngc1087/ngc1087_miri_lv3_f1000w_i2d_align.fits
ngc1087,F1130W,ngc1087/ngc1087_miri_lv3_f1130w_i2d_align.fits
ngc1087,F2100W,ngc1087/ngc1087_miri_lv3_f2100w_i2d_align.fits
#
ngc1300,F200W,ngc1300/ngc1300_nircam_lv3_f200w_i2d_align.fits
ngc1300,F300M,ngc1300/ngc1300_nircam_lv3_f300m_i2d_align.fits
ngc1300,F335M,ngc1300/ngc1300_nircam_lv3_f335m_i2d_align.fits
ngc1300,F360M,ngc1300/ngc1300_nircam_lv3_f360m_i2d_align.fits
ngc1300,F770W,ngc1300/ngc1300_miri_lv3_f770w_i2d_align.fits
ngc1300,F1000W,ngc1300/ngc1300_miri_lv3_f1000w_i2d_align.fits
ngc1300,F1130W,ngc1300/ngc1300_miri_lv3_f1130w_i2d_align.fits
ngc1300,F2100W,ngc1300/ngc1300_miri_lv3_f2100w_i2d_align.fits
#
ngc1365,F200W,ngc1365/ngc1365_nircam_lv3_f200w_i2d_align.fits
ngc1365,F300M,ngc1365/ngc1365_nircam_lv3_f300m_i2d_align.fits
ngc1365,F335M,ngc1365/ngc1365_nircam_lv3_f335m_i2d_align.fits
ngc1365,F360M,ngc1365/ngc1365_nircam_lv3_f360m_i2d_align.fits
ngc1365,F770W,ngc1365/ngc1365_miri_lv3_f770w_i2d_align.fits
ngc1365,F1000W,ngc1365/ngc1365_miri_lv3_f1000w_i2d_align.fits
ngc1365,F1130W,ngc1365/ngc1365_miri_lv3_f1130w_i2d_align.fits
ngc1365,F2100W,ngc1365/ngc1365_miri_lv3_f2100w_i2d_align.fits
#
ngc1385,F200W,ngc1385/ngc1385_nircam_lv3_f200w_i2d_align.fits
ngc1385,F300M,ngc1385/ngc1385_nircam_lv3_f300m_i2d_align.fits
ngc1385,F335M,ngc1385/ngc1385_nircam_lv3_f335m_i2d_align.fits
ngc1385,F360M,ngc1385/ngc1385_nircam_lv3_f360m_i2d_align.fits
ngc1385,F770W,ngc1385/ngc1385_miri_lv3_f770w_i2d_align.fits
ngc1385,F1000W,ngc1385/ngc1385_miri_lv3_f1000w_i2d_align.fits
ngc1385,F1130W,ngc1385/ngc1385_miri_lv3_f1130w_i2d_align.fits
ngc1385,F2100W,ngc1385/ngc1385_miri_lv3_f2100w_i2d_align.fits
#
ngc1433,F200W,ngc1433/ngc1433_nircam_lv3_f200w_i2d_align.fits
ngc1433,F300M,ngc1433/ngc1433_nircam_lv3_f300m_i2d_align.fits
ngc1433,F335M,ngc1433/ngc1433_nircam_lv3_f335m_i2d_align.fits
ngc1433,F360M,ngc1433/ngc1433_nircam_lv3_f360m_i2d_align.fits
ngc1433,F770W,ngc1433/ngc1433_miri_lv3_f770w_i2d_align.fits
ngc1433,F1000W,ngc1433/ngc1433_miri_lv3_f1000w_i2d_align.fits
ngc1433,F1130W,ngc1433/ngc1433_miri_lv3_f1130w_i2d_align.fits
ngc1433,F2100W,ngc1433/ngc1433_miri_lv3_f2100w_i2d_align.fits
#
ngc1512,F200W,ngc1512/ngc1512_nircam_lv3_f200w_i2d_align.fits
ngc1512,F300M,ngc1512/ngc1512_nircam_lv3_f300m_i2d_align.fits
ngc1512,F335M,ngc1512/ngc1512_nircam_lv3_f335m_i2d_align.fits
ngc1512,F360M,ngc1512/ngc1512_nircam_lv3_f360m_i2d_align.fits
ngc1512,F770W,ngc1512/ngc1512_miri_lv3_f770w_i2d_align.fits
ngc1512,F1000W,ngc1512/ngc1512_miri_lv3_f1000w_i2d_align.fits
ngc1512,F1130W,ngc1512/ngc1512_miri_lv3_f1130w_i2d_align.fits
ngc1512,F2100W,ngc1512/ngc1512_miri_lv3_f2100w_i2d_align.fits
#
ngc1566,F200W,ngc1566/ngc1566_nircam_lv3_f200w_i2d_align.fits
ngc1566,F300M,ngc1566/ngc1566_nircam_lv3_f300m_i2d_align.fits
ngc1566,F335M,ngc1566/ngc1566_nircam_lv3_f335m_i2d_align.fits
ngc1566,F360M,ngc1566/ngc1566_nircam_lv3_f360m_i2d_align.fits
ngc1566,F770W,ngc1566/ngc1566_miri_lv3_f770w_i2d_align.fits
ngc1566,F1000W,ngc1566/ngc1566_miri_lv3_f1000w_i2d_align.fits
ngc1566,F1130W,ngc1566/ngc1566_miri_lv3_f1130w_i2d_align.fits
ngc1566,F2100W,ngc1566/ngc1566_miri_lv3_f2100w_i2d_align.fits
#
ngc1672,F200W,ngc1672/ngc1672_nircam_lv3_f200w_i2d_align.fits
ngc1672,F300M,ngc1672/ngc1672_nircam_lv3_f300m_i2d_align.fits
ngc1672,F335M,ngc1672/ngc1672_nircam_lv3_f335m_i2d_align.fits
ngc1672,F360M,ngc1672/ngc1672_nircam_lv3_f360m_i2d_align.fits
ngc1672,F770W,ngc1672/ngc1672_miri_lv3_f770w_i2d_align.fits
ngc1672,F1000W,ngc1672/ngc1672_miri_lv3_f1000w_i2d_align.fits
ngc1672,F1130W,ngc1672/ngc1672_miri_lv3_f1130w_i2d_align.fits
ngc1672,F2100W,ngc1672/ngc1672_miri_lv3_f2100w_i2d_align.fits
#
ngc3627,F200W,ngc3627/ngc3627_nircam_lv3_f200w_i2d_align.fits
ngc3627,F300M,ngc3627/ngc3627_nircam_lv3_f300m_i2d_align.fits
ngc3627,F335M,ngc3627/ngc3627_nircam_lv3_f335m_i2d_align.fits
ngc3627,F360M,ngc3627/ngc3627_nircam_lv3_f360m_i2d_align.fits
ngc3627,F770W,ngc3627/ngc3627_miri_lv3_f770w_i2d_align.fits
ngc3627,F1000W,ngc3627/ngc3627_miri_lv3_f1000w_i2d_align.fits
ngc3627,F1130W,ngc3627/ngc3627_miri_lv3_f1130w_i2d_align.fits
ngc3627,F2100W,ngc3627/ngc3627_miri_lv3_f2100w_i2d_align.fits
#
ngc4303,F200W,ngc4303/ngc4303_nircam_lv3_f200w_i2d_align.fits
ngc4303,F300M,ngc4303/ngc4303_nircam_lv3_f300m_i2d_align.fits
ngc4303,F335M,ngc4303/ngc4303_nircam_lv3_f335m_i2d_align.fits
ngc4303,F360M,ngc4303/ngc4303_nircam_lv3_f360m_i2d_align.fits
ngc4303,F770W,ngc4303/ngc4303_miri_lv3_f770w_i2d_align.fits
ngc4303,F1000W,ngc4303/ngc4303_miri_lv3_f1000w_i2d_align.fits
ngc4303,F1130W,ngc4303/ngc4303_miri_lv3_f1130w_i2d_align.fits
ngc4303,F2100W,ngc4303/ngc4303_miri_lv3_f2100w_i2d_align.fits
#
ngc4321,F200W,ngc4321/ngc4321_nircam_lv3_f200w_i2d_align.fits
ngc4321,F300M,ngc4321/ngc4321_nircam_lv3_f300m_i2d_align.fits
